"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "YAML", "Diff", "Prisma", "comment", "blank", "total"
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/wordpairs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 17, 189
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/cva/cube-flasher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/cva/flashingStyles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/cva/fontProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/cva/highlightSelectorButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/env/client.mjs", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 7, 34
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/env/schema.mjs", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 16, 4, 31
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/env/server.mjs", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 6, 28
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/hooks/useInterval.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 4, 25
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/hooks/useIsVisible.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/hooks/useStopWatch.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 29, 6, 60
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/hooks/useTimer.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 4, 9, 75
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/middleware.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 9, 3, 23
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 3, 16
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/admin/createquestion/done.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/admin/createquestion/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 8, 165
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/admin/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 9, 76
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/admin/testexercise.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 5, 108
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/api/trpc/[trpc].ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 12, 5, 23
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/done.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/exercises/boxes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/exercises/cubebythree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/exercises/cubebytwo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/pages/exercises/evennumbers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 3, 38
